family,workflow,instance,instance_scale_tag,scheduler,makespan,total_energy,total_carbon,green_ratio,brown_energy,avg_utilization,seed,success,abl
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,99.71975,118.2497133224036,51.64542944408412,0.2265022469310418,91.46588755592808,0.0736827173699162,4,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,102.1838125,119.57768514094528,48.83890655862219,0.2831434685985765,85.72004460314996,0.0758866249529367,5,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,100.97884615384616,121.10560312516004,48.36704124828442,0.3012418913714834,84.62352218405303,0.0769111207919911,6,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,99.3393076923077,117.1651593766184,49.547738295216725,0.2542240277086254,87.3789606527718,0.0745024862017848,7,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,100.50123076923076,117.09615445903825,49.55663362787017,0.2535736787119576,87.40365180983672,0.073429020865416,8,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,101.60475769230769,113.5722445728684,50.10242859736175,0.2176994205619355,88.84763273743687,0.0668741638429735,9,1,full
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,unknown,HEFT,101.80380769230769,114.21254776415044,50.99806692890821,0.2069620995721165,90.57487908140156,0.0689524794706307,10,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,127.2226657051259,1248.7693568202994,389.6476203104597,0.4759494206318181,654.4183049388843,0.8107932024877803,1,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,124.79958782051096,1241.8971796590542,389.0442843111704,0.4734678028369362,653.8988506564518,0.8205345034937442,2,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,127.5894410256394,1244.149142200719,387.9802272405197,0.4763123502150783,651.5455402609686,0.8040529690037479,3,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,128.1227189102542,1252.403261814176,390.1972417220464,0.4768824249837367,655.1541572626601,0.8084632469241756,4,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,140.16457884615173,1259.0582657771647,389.8732744518188,0.4806906557875927,653.8407223259073,0.7462109969666276,5,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,128.0635160256395,1246.4709101954593,389.3057382546792,0.4753472542834459,653.9643854898138,0.8025749811348085,6,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,129.924497435896,1242.9361682502522,393.5204941646285,0.4667888919531049,662.7473715042325,0.7874248877735979,7,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,136.8302124999984,1249.6282719220133,388.0482563965595,0.4789380968474303,651.1336856009071,0.7562281929727411,8,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,140.9446692307668,1255.198394065458,386.8740240183474,0.4835651386306981,648.2282086301316,0.7386101816873428,9,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,ECDS,140.3425355769216,1254.4179021335508,387.5594960074131,0.4820887036955563,649.6772018014597,0.7409541772442585,10,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,110.49237788461524,1213.154911469174,395.4472089144362,0.4480680741167365,669.5789266819368,0.8950623813768792,1,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,112.4417692307692,1208.2319297291929,392.9488473436668,0.449547321710453,665.0745017143895,0.8745238083632602,2,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,112.8314153846154,1210.8743391573455,392.567244427266,0.451597053909922,664.0470549387813,0.8735473278809548,3,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,111.03550384615386,1217.219739334236,395.4605921167184,0.4502231695108721,669.1992102999964,0.8949072536489369,4,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,109.5840615384612,1214.3087486526642,399.4555285682571,0.4420857273548356,677.4801822712309,0.9036852440834404,5,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,110.80572692307692,1212.273549484039,397.3574701641016,0.4444425635893803,673.4875853797777,0.892045294665474,6,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,108.63924230769231,1223.455676367714,398.6319406893009,0.4483508256338793,674.9183137418106,0.9219443627520544,7,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,112.09038717948718,1207.474447876752,395.4964422659889,0.4449195666849584,670.2454397442859,0.8761634165585608,8,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,111.35587499999978,1213.133694501607,395.0595421330468,0.4486957885621521,668.8057148159114,0.8878865131032215,9,1,full
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,05d,HEFT,112.6481259615385,1207.0466589535756,395.1776383021047,0.4452156379030548,669.6506107088294,0.8715707680337382,10,1,full
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,unknown,ECDS,100.17706666666668,45.69755707304494,11.159416503864572,0.6115968021648533,17.749077300424688,0.0386056974668135,1,1,full
