family,workflow,instance,instance_scale_tag,scheduler,task_release_T,makespan_mean,makespan_std,total_energy_mean,total_energy_std,total_carbon_mean,total_carbon_std,green_ratio_mean,green_ratio_std,brown_energy_mean,brown_energy_std,avg_utilization_mean,avg_utilization_std,n_runs
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,small,ECDS,150,151.97136019230769,0.8442362024804496,156.86968637595191,3.548724167923209,38.87691213228681,2.555636114661311,0.6038240171990432,0.03897691390055475,62.066855626978466,5.317096955541546,0.08468921945172486,0.003341462647629873,5
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-50k-001,small,HEFT,150,151.20978461538462,0.7857367894014713,116.24109840651576,4.047133843376791,51.7415122139039,1.195001062931767,0.20901972474935954,0.03308436645083556,91.85891458715648,2.3376706578147197,0.047250197360085254,0.0041256742438562305,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,ECDS,50,120.1651978846152,0.20596792573464096,1241.4512397453016,3.392315391778466,398.0278728245617,0.17567460253692185,0.4587664137680264,0.0016740300834216819,671.9106216745944,0.394493986380134,0.8482889293285322,0.0037141073843593303,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,HEFT,50,102.35259153846147,0.07678677811259657,1239.6251089168557,0.34449261357344674,407.09130958718066,0.11723828981107626,0.4432025395424838,9.02042893720628e-05,690.2201082826633,0.204705646225116,0.9985172243236011,0.0011177460320033385,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,ECDS,100,129.57979846153643,6.0524513202472034,1249.2554412542827,6.827494502174645,389.348529607203,0.8732040456612261,0.47666053089103244,0.002603438288184135,653.7715150889744,1.351481077716688,0.7980109837752151,0.029579080781582695,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,HEFT,100,111.27702557692298,1.3521175463357007,1212.7579336685226,3.4096542430724135,395.1758842740689,2.7493056505514524,0.4483042693205638,0.0037012106090481786,669.0759751812669,5.296240945919074,0.8883452030706943,0.013541657138724064,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,ECDS,150,153.59851217948565,2.0863250287907906,1241.007917482028,2.835358660830839,393.2994603332903,1.56526314803894,0.46615740158598207,0.003215193468243294,662.4981289183816,3.215623785740407,0.6649595514418319,0.011286748045591072,5
montage/chameleon-cloud,montage/chameleon-cloud,montage-chameleon-2mass-05d-001,medium,HEFT,150,151.65340487179486,0.4312139860448644,1120.6944921394322,6.4372496659092295,410.75085838799,2.5380430310674646,0.3669404345960639,0.007663089222142937,709.432267562023,5.4478290042643644,0.5748908784878094,0.004452890691424868,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,ECDS,50,50.195253333333326,0.03656648131220224,45.23960804806411,0.5682322613588692,15.72248169068207,0.10106963006416829,0.4048650285739054,0.006785503233185216,26.921002576557715,0.17019161643823805,0.07778869434492777,0.001356554074997099,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,HEFT,50,50.08983333333333,0.015478479684172567,36.50509575979817,0.23519728713290353,14.97704959207077,0.036057427690495705,0.2794301123656732,0.005058641444829617,26.30358960816174,0.0690132194052653,0.05650610722217492,0.0004953349129528107,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,ECDS,100,100.16165076923077,0.02900268007747971,44.90301700441357,1.4854629665142303,11.304104444475547,0.11086152895540709,0.5960743205473431,0.017201239250671217,18.117907188509783,0.26785187948663836,0.03782535471891794,0.0017247455221267459,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,HEFT,100,100.09627435897436,0.04534418704911342,32.58716610372128,0.1320738640952199,13.82656516457269,0.05045166695633957,0.2513967084613693,0.00517745843176419,24.394413718773247,0.10498090302272807,0.023400836196449122,0.00014900554801535804,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,ECDS,150,150.131555,0.029348266558685623,43.941720067368706,0.6055532518982311,10.645575248495742,0.14443449618782425,0.6153475647207911,0.012020272456452492,16.89697849025464,0.331791667683229,0.02450355835354416,0.0003935248311327905,5
seismology/chameleon-cloud,seismology/chameleon-cloud,seismology-chameleon-200p-001,medium,HEFT,150,150.08246923076922,0.03526193616368484,31.23714965361551,0.17221474049722518,13.965865270587354,0.03543363797848839,0.20579142517431995,0.006156846563234498,24.808015575813123,0.07897353379454322,0.01415722251785218,0.00012126743836320164,5
