scheduler,scheduler_family,variant,scenario,run_tag,makespan,total_energy,total_carbon,green_ratio,green_energy,brown_energy,avg_utilization,flowtime_sum,n_tasks,unfinished_tasks,scheduler_wallclock_s,scheduler_calls,dispatch_count,event_count,recluster_count,decision_budget_ms,candidate_cap,frontier_cap,task_release_random,task_release_T,w1,w2,w3,w4,workflow,family,instance,instance_scale_tag,seed,trace_path,success,budget_tag,weight_tag,study_group
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,98.57453846153845,49.771533143766035,21.363328872458737,0.24154427147139096,12.022028713225156,37.7495044305408,0.0296527091987138,5155.067609294875,81,0,0.05784989986568689,81,81,81,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,98.59807692307692,49.76185041544873,21.35921371292388,0.24154262614427022,12.019608031145829,37.74224238430282,0.029641806121719138,5155.199673717952,81,0,0.04663070011883974,81,81,81,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,98.59807692307692,49.741242475865384,21.35045533860096,0.24153912222999757,12.014456046249997,37.72678642961532,0.02963060745840719,5155.233902884618,81,0,0.048794100061059,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,98.59807692307692,49.741242475865384,21.35045533860096,0.24153912222999757,12.014456046249997,37.72678642961532,0.02963060745840719,5155.233902884618,81,0,0.048557200003415346,81,81,81,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,2,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,101.14673076923076,50.10748233669876,21.43224757350561,0.24454901447688038,12.253735423357373,37.85374691334129,0.03090407777416532,5405.108338782057,81,0,0.01211329991929233,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,101.14673076923076,49.75204571958332,21.445811087606575,0.237892290561025,11.835628116328516,37.916417603254764,0.028725790438997815,5404.721854487187,81,0,0.03581949998624623,81,81,81,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,101.16653846153845,49.689402705641015,21.441861160714744,0.236964423270053,11.774620654775633,37.914782050865334,0.028588741320797417,5404.707041025647,81,0,0.051090699853375554,81,81,81,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,101.15442307692307,49.667992492419884,21.432761820095756,0.2369588040681637,11.769268101470349,37.898724390949475,0.028675559676782498,5404.798015064108,81,0,0.04943079990334809,81,81,81,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,101.15442307692307,49.679107291041674,21.437485609510016,0.2369617217990666,11.772046801125798,37.90706048991582,0.02869908695070803,5404.788483012826,81,0,0.0804691999219358,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,101.15826923076922,49.67619169193912,21.436246479891427,0.23696095655537683,11.771317901350157,37.904873790588894,0.028691139297457754,5404.794807371801,81,0,0.08574300003238022,81,81,81,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,3,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,99.12315384615384,49.804237041826944,22.61573166870833,0.19181495342594868,9.553197408592943,40.25103963323395,0.0337179029331034,4217.576260576922,81,0,0.015323700150474906,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,4,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,99.12315384615384,49.70580052850963,22.590583048561296,0.19102829817199765,9.495214484237975,40.21058604427161,0.029289205890729485,4214.704176923076,81,0,0.039299100171774626,81,81,81,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,4,,1,very_low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_low,99.12315384615384,49.73318546222755,22.60337611878406,0.1910143434929838,9.499751770882202,40.23343369134532,0.029315361517387138,4214.785379487181,81,0,0.054018500028178096,81,81,81,0,20.0,16,6,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,4,,1,low,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_medium,99.12315384615384,49.70577914298077,22.590409517954328,0.19103488940503013,9.495538021370184,40.21024112161054,0.029296018026526364,4214.825809615386,81,0,0.036470399936661124,81,81,81,0,50.0,32,8,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,4,,1,medium,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_high,99.12315384615384,49.70577914298077,22.590409517954328,0.19103488940503013,9.495538021370184,40.21024112161054,0.029296018026526364,4214.825809615386,81,0,0.037297500064596534,81,81,81,0,100.0,64,12,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,4,,1,high,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_high,99.12315384615384,49.70577914298077,22.590409517954328,0.19103488940503013,9.495538021370184,40.21024112161054,0.029296018026526364,4214.825809615386,81,0,0.036583200097084045,81,81,81,0,200.0,128,20,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,4,,1,very_high,w_50_30_20_00,budget
ECDS,ecds,full,dynamic,ecds_budget_ref,99.3063076923077,49.74254845317313,22.105787838199507,0.21119198651393595,10.505227622091345,39.2373208310817,0.03011175391420378,4523.763642948717,81,0,0.012076799990609288,81,81,81,1,0.0,0,0,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,5,,1,ecds_ref,w_50_30_20_00,budget
MOHEFT,mo_baseline,full,dynamic,moheft_budget_very_low,99.3063076923077,49.44144510857372,22.16767349421594,0.20327566495940397,10.050242630999193,39.39120247757451,0.028611114526900155,4522.704886217951,81,0,0.039538499899208546,81,81,81,0,5.0,8,4,True,100,0.5,0.3,0.2,0.0,epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,5,,1,very_low,w_50_30_20_00,budget
