family,workflow,instance,instance_scale_tag,instance_label,scheduler,seed,weight_tag,makespan,brown_energy,total_carbon,green_ratio,total_energy
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_55_25_20_00,99.12315384615384,40.096912236771615,22.541127999311296,0.1957041650045726,49.853437618509616
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,4,w_70_20_10_00,99.12315384615384,40.20255899678764,22.5896648278129,0.1921958685117868,49.767706588381415
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_25_25_20_30,99.3063076923077,39.14153897642547,22.061150992098156,0.214145725958893,49.80763007770832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_35_25_20_20,99.3063076923077,39.14804229673797,22.064104956941904,0.2139211908860613,49.80167617145832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_40_30_20_10,99.3063076923077,39.17639677330047,22.07698424366065,0.2129415903150458,49.77571714020832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_50_30_20_00,99.3063076923077,39.27804277330046,22.12121924366065,0.2088051590575591,49.64395714020832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_50_30_20_20,99.3063076923077,39.27804277330046,22.12121924366065,0.2088051590575591,49.64395714020832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_50_30_20_30,99.3063076923077,39.27804277330046,22.12121924366065,0.2088051590575591,49.64395714020832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_55_25_20_00,99.3063076923077,39.17955133580047,22.07874708741065,0.212936897774681,49.77942839020832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,GREENHEFT,5,w_70_20_10_00,99.3063076923077,39.36172443130047,22.15701448466065,0.2051836851085247,49.52304538020832
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,HEFT,1,anchor,100.02646153846152,38.59222561657448,21.797592340211143,0.2286120049342679,50.02959063847756
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,HEFT,2,anchor,98.57453846153844,37.6857447734134,21.33707320008654,0.2445326661098554,49.88401626759614
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,HEFT,3,anchor,101.14673076923076,37.96546237062256,21.48015403911499,0.2399072044848248,49.94845707607371
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,HEFT,4,anchor,99.12315384615384,40.24691177980847,22.610882724302485,0.190993053077175,49.74853668796475
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,HEFT,5,anchor,99.3063076923077,39.37276894372835,22.16238384170312,0.2049115718012183,49.51998739677884
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_25_25_20_30,100.02646153846152,35.41629994606006,20.3425466181911,0.3278100317369845,52.68793290322117
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_35_25_20_20,100.02646153846152,38.30708485548072,21.653748463096157,0.2339214385979627,50.00412070711538
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_40_30_20_10,100.02646153846152,38.54331380583168,21.768342571186697,0.2281104046124025,49.933713365416665
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_50_30_20_00,100.02646153846152,38.603401203331686,21.7965420964367,0.2263355951822162,49.89682989541667
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_50_30_20_20,100.02646153846152,38.33095507145668,21.665403855040864,0.2333583038959711,49.99852638625
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_50_30_20_30,100.02646153846152,38.24598402798072,21.626489810846152,0.2361490376381547,50.06995593711539
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_55_25_20_00,100.02646153846152,38.64089283864419,21.817737873113785,0.2263439499627622,49.94582907583332
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,1,w_70_20_10_00,100.02646153846152,38.64089283864419,21.817737873113785,0.2263439499627622,49.94582907583332
epigenomics/chameleon-cloud,epigenomics/chameleon-cloud,epigenomics-chameleon-hep-1seq-100k-001,medium,Epigenomics-100k,MOHEFT,2,w_25_25_20_30,98.63607692307691,33.60339258020429,19.455676382268027,0.3669245545700156,53.0796018433173
